Date,Open,High,Low,Close,Adj Close,Volume
2004-06-01,81.274216,83.328125,81.274216,82.617966,56.663700,28710336
2004-06-02,82.729691,83.981247,81.992966,83.398438,57.198994,17547008
2004-06-03,83.750000,84.140625,81.500000,81.897659,56.169678,30415040
2004-06-04,81.250000,81.906250,80.500000,81.521095,55.911442,19523392
2004-06-07,82.187500,83.000000,80.501564,81.365623,55.804794,21086016
2004-06-08,81.640625,82.021873,80.017189,80.905472,55.489182,31877952
2004-06-09,81.271095,81.934372,80.960938,81.593750,55.961254,16769088
2004-06-10,81.948441,82.608597,81.015625,82.392967,56.509388,16670208
2004-06-11,82.500000,82.500000,79.407028,79.853127,54.767433,29788544
2004-06-14,79.685936,80.057030,77.847656,78.031250,53.517910,22198208
2004-06-15,78.359375,79.921875,78.359375,79.408592,54.462570,22293952
2004-06-16,80.468750,80.859375,79.708595,80.406250,55.146809,21901504
2004-06-17,80.468750,81.562500,80.187500,81.242966,55.720657,19065792
2004-06-18,81.250000,82.775002,80.707031,82.257813,56.416695,28632320
2004-06-21,82.421875,83.984375,82.268753,83.614845,57.347408,26522560
2004-06-22,83.052345,84.256248,82.656250,83.991409,57.605694,23141632
2004-06-23,84.296875,84.359375,82.734375,83.178123,57.047909,26169152
2004-06-24,83.432816,84.984375,82.892189,84.517967,57.966854,32614720
2004-06-25,84.531250,85.937500,83.859375,85.685936,58.767899,28886528
2004-06-28,86.406250,87.781250,86.128906,87.467186,59.989586,31393024
2004-06-29,87.578125,88.436722,86.890625,87.292191,59.869541,44017472
2004-06-30,87.031250,87.812500,85.954689,86.314064,59.198681,39124224
2004-07-01,87.187500,88.481247,84.949997,88.050003,60.389278,28275440
2004-07-02,85.328125,89.437500,85.328125,88.959373,61.012974,24930048
2004-07-05,89.143753,90.312500,88.781250,89.340622,61.274464,15505536
2004-07-06,89.187500,89.750000,87.884377,89.156250,61.148014,19217968
2004-07-07,87.759377,88.937500,86.568748,87.028122,59.688412,28427936
2004-07-08,87.500000,88.712502,83.206253,84.515625,57.965237,37858080
2004-07-09,81.250000,86.865623,80.312500,86.406250,59.261906,22787760
2004-07-12,86.687500,87.468750,85.265625,86.009377,58.989712,22648144
2004-07-13,89.062500,89.525002,86.812500,87.671875,60.129959,38728000
2004-07-14,88.750000,90.312500,88.375000,88.800003,60.903671,29463584
2004-07-15,89.025002,90.556252,88.643753,90.215622,61.874569,21826416
2004-07-16,90.218750,92.800003,90.218750,92.359375,63.344883,34887056
2004-07-19,92.375000,93.250000,91.375000,92.390625,63.366322,22012128
2004-07-20,92.125000,92.481247,90.196877,90.487503,62.061066,21665664
2004-07-21,90.687500,91.250000,89.074997,89.831253,61.610966,22177072
2004-07-22,90.875000,91.250000,89.381248,90.168747,61.842430,19465920
2004-07-23,90.625000,91.543747,90.187500,90.946877,62.376110,15554320
2004-07-26,89.925003,91.562500,89.509377,91.221878,62.564720,14673152
2004-07-27,91.875000,92.900002,91.440628,92.456253,63.411320,23371088
2004-07-28,92.500000,94.562500,92.256248,94.268753,64.654442,31335104
2004-07-29,94.346878,96.562500,94.346878,95.974998,65.824684,21491184
2004-07-30,96.318748,97.812500,95.625000,97.093750,66.591972,25009120
2004-08-02,96.875000,97.893753,96.875000,97.250000,66.699120,17539728
2004-08-03,97.493752,98.875000,97.431252,98.556252,67.595016,23723440
2004-08-04,98.687500,98.687500,96.375000,96.756248,66.360481,17101728
2004-08-05,96.500000,97.750000,96.500000,97.362503,66.776253,18405328
2004-08-06,96.937500,97.312500,94.459373,95.425003,65.447456,23971584
2004-08-09,94.487503,96.356247,93.625000,95.890625,65.766800,19569968
2004-08-10,96.312500,96.312500,94.812500,95.318748,65.374580,15133312
2004-08-11,95.937500,96.543747,93.449997,94.006248,64.474388,21258032
2004-08-12,94.000000,94.556252,93.000000,93.665627,64.240776,22696432
2004-08-13,93.125000,95.556252,92.196877,92.490623,63.434883,21489920
2004-08-16,92.687500,93.312500,92.000000,92.949997,63.749947,16502032
2004-08-17,93.687500,94.062500,92.253128,92.656250,63.548492,15134480
2004-08-18,92.687500,93.625000,92.437500,92.925003,63.732822,17098976
2004-08-19,93.750000,96.250000,93.750000,96.046875,65.873947,31323920
2004-08-20,95.937500,97.150002,95.312500,96.675003,66.304764,24660640
2004-08-23,97.375000,98.812500,96.946877,97.471878,66.851280,22006368
2004-08-24,97.500000,98.290627,96.703125,97.243752,66.694847,17164864
2004-08-25,97.256248,97.775002,94.750000,95.940628,65.801086,20150288
2004-08-26,96.437500,97.375000,95.775002,96.596878,66.251183,20723296
2004-08-27,97.056252,98.187500,96.321877,97.831253,67.097771,15277728
2004-08-30,98.250000,98.925003,97.250000,98.590622,67.618568,12084944
2004-08-31,98.750000,99.368752,97.696877,98.468750,67.535004,13549504
2004-09-01,98.437500,99.312500,98.125000,98.824997,67.779358,8008016
2004-09-02,99.690628,100.837502,99.690628,100.165627,68.698814,18522576
2004-09-03,100.312500,100.737503,99.559372,100.412498,68.868134,14033472
2004-09-06,100.625000,100.937500,100.250000,100.493752,68.923866,7469520
2004-09-07,100.378128,101.218750,100.000000,100.962502,69.245354,11782048
2004-09-08,101.187500,101.875000,100.750000,101.562500,69.656876,13429216
2004-09-09,101.625000,102.062500,101.000000,101.415627,69.556107,13698032
2004-09-10,101.881248,103.996872,101.415627,103.378128,70.902130,18587072
2004-09-13,105.312500,106.243752,103.125000,104.740623,71.836601,18370576
2004-09-14,104.981247,106.612503,104.831253,106.318748,72.918938,30164176
2004-09-15,106.750000,106.990623,105.312500,106.312500,72.914642,21460064
2004-09-16,106.078125,106.375000,105.009377,105.934372,72.655327,16680048
2004-09-17,105.996872,105.996872,104.390625,105.606247,72.430260,20388080
2004-09-20,105.062500,105.062500,103.437500,103.593750,71.050011,20823424
2004-09-21,103.759377,105.062500,103.587502,104.759377,71.849449,27698816
2004-09-22,104.759377,104.981247,103.437500,103.968750,71.307213,23176304
2004-09-23,103.737503,103.737503,101.625000,101.893753,69.884071,23091104
2004-09-24,102.218750,102.925003,100.493752,100.871872,69.183220,20775696
2004-09-27,101.250000,102.800003,100.890625,102.481247,70.286980,16671776
2004-09-28,102.418747,102.418747,100.062500,100.743752,69.095306,18208848
2004-09-29,101.015625,102.868752,100.640625,102.493752,70.295578,20993216
2004-09-30,104.375000,106.375000,102.818748,105.968750,72.678909,34462048
2004-10-01,108.437500,108.562500,105.690628,106.453125,73.011124,20852576
2004-10-04,107.500000,108.875000,107.500000,107.993752,74.067764,18128336
2004-10-05,108.140625,108.675003,107.065628,107.531250,73.750572,13884688
2004-10-06,106.875000,106.875000,105.000000,105.365623,72.265228,29443040
2004-10-07,106.250000,107.000000,105.018753,106.593750,73.107574,15432096
2004-10-08,106.750000,108.087502,106.312500,106.753128,73.216873,20248128
2004-10-11,106.578125,107.171875,105.021873,105.409378,72.295273,14722064
2004-10-12,108.250000,108.687500,106.375000,106.959373,73.358315,36566784
2004-10-13,106.959373,106.959373,106.959373,106.959373,73.358315,0
2004-10-14,107.631248,114.062500,106.946877,113.406250,77.779930,49699776
2004-10-15,113.471878,114.750000,111.078125,111.671875,76.590401,17571888
2004-10-18,112.562500,112.562500,109.453125,110.074997,75.707047,25400864
2004-10-19,111.250000,111.543747,109.318748,110.490623,75.992905,31222048
2004-10-20,110.750000,112.156250,109.506248,109.925003,75.603889,26192688
2004-10-21,110.021873,111.550003,109.687500,111.234375,76.504425,21814288
2004-10-22,111.234375,111.234375,111.234375,111.234375,76.504425,0
2004-10-25,111.571877,114.493752,111.571877,113.768753,78.247498,31941936
