Date,Open,High,Low,Close,Adj Close,Volume
2004-06-01,57.811878,58.676250,56.930626,57.245628,47.559456,9873999
2004-06-02,57.000004,57.693752,56.287502,57.345001,47.642014,8518239
2004-06-03,58.125004,58.205627,54.078751,54.740627,45.478317,12914319
2004-06-04,54.941254,56.775002,54.011253,56.431877,46.883396,11777652
2004-06-07,59.025002,59.025002,54.943127,55.706253,46.280548,9264906
2004-06-08,56.156254,56.700001,55.541252,56.075626,46.587414,10303572
2004-06-09,55.950001,56.625004,55.696877,56.062504,46.576515,7342079
2004-06-10,55.500004,57.337502,55.125004,57.133125,47.465981,8928612
2004-06-11,57.375004,57.450001,55.312504,55.490627,46.101414,9134719
2004-06-14,56.212502,56.212502,53.812504,54.136875,44.976715,9573919
2004-06-15,54.093754,56.205002,53.625004,55.768127,46.331966,9587466
2004-06-16,56.212502,56.550003,55.218754,55.627502,46.215126,7887812
2004-06-17,55.800003,56.623127,55.171879,56.403751,46.860031,6203306
2004-06-18,56.812504,57.637501,55.884377,56.812504,47.199623,16556612
2004-06-21,57.000004,59.062504,56.625004,58.801876,48.852383,18226879
2004-06-22,58.873127,58.875004,57.862503,58.408127,48.525253,12771386
2004-06-23,57.978752,59.325001,57.286877,57.585003,47.841408,12280559
2004-06-24,57.750004,59.917503,57.435001,59.553753,49.477032,22099705
2004-06-25,64.125000,64.125000,58.747501,59.990627,49.839989,10478203
2004-06-28,60.468754,63.450005,60.468754,62.566879,51.980328,17578034
2004-06-29,62.566879,62.932503,60.204376,60.935627,50.625095,15084834
2004-06-30,60.766876,61.537502,59.625004,59.861252,49.732502,12166888
2004-07-01,60.075005,60.750004,59.186253,60.271877,50.073643,8350052
2004-07-02,59.681252,60.750004,56.362503,59.366253,49.321259,8195572
2004-07-05,59.625004,60.125629,58.511253,58.865627,48.905342,6538657
2004-07-06,58.803753,60.153751,58.511253,59.866879,49.737183,6493475
2004-07-07,59.625004,60.300003,57.735001,58.066875,48.241753,12948212
2004-07-08,58.500004,59.490002,55.125004,56.311878,46.783695,14372488
2004-07-09,56.362503,56.812504,52.875004,56.233128,46.718281,8032666
2004-07-12,56.975628,57.375004,55.710003,56.092503,46.601444,9023937
2004-07-13,57.245628,57.375004,55.350002,55.828129,46.381802,9888710
2004-07-14,56.688751,57.768753,56.390629,57.577503,47.835175,12656310
2004-07-15,58.471878,59.248127,57.628128,59.079376,49.082932,12752826
2004-07-16,59.737503,60.075005,58.162502,59.152500,49.143681,10434470
2004-07-19,59.259377,59.850002,58.612503,59.467503,49.405388,9878932
2004-07-20,59.512501,59.625004,58.235626,58.477501,48.582886,6164390
2004-07-21,59.062504,59.670002,58.179379,59.011875,49.026855,7479181
2004-07-22,59.062504,59.962502,58.331253,58.955627,48.980133,9145368
