,Date,Infy_Open,Infy_High,Infy_Low,Infy_Close,Infy_Adj Close,Infy_Volume,Infy_%_Change,Infy_30-Day MA,Infy_Rolling Std,Infy_Upper Band,Infy_Lower Band,TCS_Open,TCS_High,TCS_Low,TCS_Close,TCS_Adj Close,TCS_Volume,TCS_%_Change,TCS_30-Day MA,TCS_Rolling Std,TCS_Upper Band,TCS_Lower Band,Wipro_Open,Wipro_High,Wipro_Low,Wipro_Close,Wipro_Adj Close,Wipro_Volume,Wipro_%_Change,Wipro_30-Day MA,Wipro_Rolling Std,Wipro_Upper Band,Wipro_Lower Band
0,2004-06-01,81.274216,83.328125,81.274216,82.617966,56.6637,28710336,,83.94734,3.1217628,90.19087,77.70382,82.4625,84.75,79.3875,80.1125,56.20725,29320,,85.59417,4.1299744,93.85412,77.33422,57.81188,58.67625,56.930626,57.24563,47.559456,9873999,,57.591938,2.0301032,61.652145,53.531734
1,2004-06-02,82.72969,83.98125,81.992966,83.39844,57.198994,17547008,0.009446759,83.94734,3.1217628,90.19087,77.70382,82.125,82.125,79.775,80.0,56.128304,4560,-0.0014043127,85.59417,4.1299744,93.85412,77.33422,57.000004,57.693752,56.287502,57.345,47.642014,8518239,0.0017359055,57.591938,2.0301032,61.652145,53.531734
2,2004-06-03,83.75,84.140625,81.5,81.89766,56.169678,30415040,-0.017995289,83.94734,3.1217628,90.19087,77.70382,82.0,83.35,78.3,78.675,55.198708,13808,-0.016562462,85.59417,4.1299744,93.85412,77.33422,58.125004,58.205627,54.07875,54.740627,45.478317,12914319,-0.045415886,57.591938,2.0301032,61.652145,53.531734
3,2004-06-04,81.25,81.90625,80.5,81.521095,55.91144,19523392,-0.0045979824,83.94734,3.1217628,90.19087,77.70382,81.2375,81.25,77.25,78.4625,55.049606,23944,-0.0027009977,85.59417,4.1299744,93.85412,77.33422,54.941254,56.775,54.011253,56.431877,46.883396,11777652,0.0308957,57.591938,2.0301032,61.652145,53.531734
4,2004-06-07,82.1875,83.0,80.501564,81.36562,55.804794,21086016,-0.0019071383,83.94734,3.1217628,90.19087,77.70382,80.0,80.0,78.25,79.225,55.58458,9608,0.009717967,85.59417,4.1299744,93.85412,77.33422,59.025,59.025,54.943127,55.706253,46.28055,9264906,-0.012858407,57.591938,2.0301032,61.652145,53.531734
5,2004-06-08,81.640625,82.02187,80.01719,80.90547,55.48918,31877952,-0.005655349,83.94734,3.1217628,90.19087,77.70382,78.4,79.225,76.6125,77.475,54.35676,10272,-0.022088988,85.59417,4.1299744,93.85412,77.33422,56.156254,56.7,55.541252,56.075626,46.587414,10303572,0.006630728,57.591938,2.0301032,61.652145,53.531734
6,2004-06-09,81.271095,81.93437,80.96094,81.59375,55.961254,16769088,0.0085071875,83.94734,3.1217628,90.19087,77.70382,77.5,81.225,77.375,79.925,56.075687,31424,0.03162317,85.59417,4.1299744,93.85412,77.33422,55.95,56.625004,55.696877,56.062504,46.576515,7342079,-0.00023400542,57.591938,2.0301032,61.652145,53.531734
7,2004-06-10,81.94844,82.6086,81.015625,82.39297,56.509388,16670208,0.009795076,83.94734,3.1217628,90.19087,77.70382,81.25,91.25,80.0,87.2375,61.206177,54480,0.09149202,85.59417,4.1299744,93.85412,77.33422,55.500004,57.3375,55.125004,57.133125,47.46598,8928612,0.019096917,57.591938,2.0301032,61.652145,53.531734
8,2004-06-11,82.5,82.5,79.40703,79.85313,54.767433,29788544,-0.030825932,83.94734,3.1217628,90.19087,77.70382,91.2625,102.0,91.2625,93.6125,65.67889,1495680,0.07307637,85.59417,4.1299744,93.85412,77.33422,57.375004,57.45,55.312504,55.490627,46.101414,9134719,-0.028748611,57.591938,2.0301032,61.652145,53.531734
9,2004-06-14,79.685936,80.05703,77.84766,78.03125,53.51791,22198208,-0.022815349,83.94734,3.1217628,90.19087,77.70382,93.3875,93.75,85.75,86.35,60.583473,295448,-0.077580504,85.59417,4.1299744,93.85412,77.33422,56.2125,56.2125,53.812504,54.136875,44.976715,9573919,-0.024396049,57.591938,2.0301032,61.652145,53.531734
10,2004-06-15,78.359375,79.921875,78.359375,79.40859,54.46257,22293952,0.01765116,83.94734,3.1217628,90.19087,77.70382,88.0,89.25,85.7125,86.8125,60.90799,172688,0.005356132,85.59417,4.1299744,93.85412,77.33422,54.093754,56.205,53.625004,55.768127,46.331966,9587466,0.030131994,57.591938,2.0301032,61.652145,53.531734
11,2004-06-16,80.46875,80.859375,79.708595,80.40625,55.14681,21901504,0.012563603,83.94734,3.1217628,90.19087,77.70382,87.5,87.85,85.5,85.9125,60.276535,62312,-0.010367193,85.59417,4.1299744,93.85412,77.33422,56.2125,56.550003,55.218754,55.627502,46.215126,7887812,-0.0025216017,57.591938,2.0301032,61.652145,53.531734
12,2004-06-17,80.46875,81.5625,80.1875,81.242966,55.720657,19065792,0.010406107,83.94734,3.1217628,90.19087,77.70382,85.625,86.925,85.625,86.1625,60.451935,30208,0.0029099374,85.59417,4.1299744,93.85412,77.33422,55.800003,56.623127,55.17188,56.40375,46.86003,6203306,0.01395441,57.591938,2.0301032,61.652145,53.531734
13,2004-06-18,81.25,82.775,80.70703,82.25781,56.416695,28632320,0.012491506,83.94734,3.1217628,90.19087,77.70382,86.3625,93.25,86.3625,88.975,62.42523,91440,0.03264181,85.59417,4.1299744,93.85412,77.33422,56.812504,57.6375,55.884377,56.812504,47.199623,16556612,0.0072469115,57.591938,2.0301032,61.652145,53.531734
14,2004-06-21,82.421875,83.984375,82.26875,83.614845,57.34741,26522560,0.016497303,83.94734,3.1217628,90.19087,77.70382,90.0,92.0,86.8,88.025,61.758663,49328,-0.010677111,85.59417,4.1299744,93.85412,77.33422,57.000004,59.062504,56.625004,58.801876,48.852383,18226879,0.035016447,57.591938,2.0301032,61.652145,53.531734
15,2004-06-22,83.052345,84.25625,82.65625,83.99141,57.605694,23141632,0.004503554,83.94734,3.1217628,90.19087,77.70382,88.0,88.25,85.5,85.975,60.32042,20064,-0.023288883,85.59417,4.1299744,93.85412,77.33422,58.873127,58.875004,57.862503,58.408127,48.525253,12771386,-0.006696198,57.591938,2.0301032,61.652145,53.531734
16,2004-06-23,84.296875,84.359375,82.734375,83.17812,57.04791,26169152,-0.009682966,83.94734,3.1217628,90.19087,77.70382,86.875,87.5,82.825,84.3,59.145203,22912,-0.01948235,85.59417,4.1299744,93.85412,77.33422,57.978752,59.325,57.286877,57.585003,47.841408,12280559,-0.014092628,57.591938,2.0301032,61.652145,53.531734
17,2004-06-24,83.432816,84.984375,82.89219,84.51797,57.966854,32614720,0.01610813,83.94734,3.1217628,90.19087,77.70382,84.9875,86.5,83.275,85.7,60.127445,21592,0.016607283,85.59417,4.1299744,93.85412,77.33422,57.750004,59.917503,57.435,59.553753,49.47703,22099705,0.034188587,57.591938,2.0301032,61.652145,53.531734
18,2004-06-25,84.53125,85.9375,83.859375,85.685936,58.7679,28886528,0.01381918,83.94734,3.1217628,90.19087,77.70382,85.0,87.5,85.0,85.7,60.127445,60280,0.0,85.59417,4.1299744,93.85412,77.33422,64.125,64.125,58.7475,59.990627,49.83999,10478203,0.0073357928,57.591938,2.0301032,61.652145,53.531734
19,2004-06-28,86.40625,87.78125,86.12891,87.467186,59.989586,31393024,0.020788126,83.94734,3.1217628,90.19087,77.70382,87.2,91.25,87.2,89.85,63.03911,100536,0.04842475,85.59417,4.1299744,93.85412,77.33422,60.468754,63.450005,60.468754,62.56688,51.980328,17578034,0.04294424,57.591938,2.0301032,61.652145,53.531734
20,2004-06-29,87.578125,88.43672,86.890625,87.29219,59.86954,44017472,-0.0020006932,83.94734,3.1217628,90.19087,77.70382,91.25,91.475,88.125,89.2375,62.609383,47952,-0.0068168617,85.59417,4.1299744,93.85412,77.33422,62.56688,62.932503,60.204376,60.935627,50.625095,15084834,-0.026072133,57.591938,2.0301032,61.652145,53.531734
21,2004-06-30,87.03125,87.8125,85.95469,86.314064,59.19868,39124224,-0.011205207,83.94734,3.1217628,90.19087,77.70382,89.0,90.25,87.0,87.25,61.214954,20576,-0.02227206,85.59417,4.1299744,93.85412,77.33422,60.766876,61.537502,59.625004,59.86125,49.732502,12166888,-0.017631311,57.591938,2.0301032,61.652145,53.531734
22,2004-07-01,87.1875,88.48125,84.95,88.05,60.38928,28275440,0.02011189,83.94734,3.1217628,90.19087,77.70382,88.4875,88.9625,87.525,88.35,61.9867,15168,0.012607427,85.59417,4.1299744,93.85412,77.33422,60.075005,60.750004,59.186253,60.271877,50.073643,8350052,0.0068596127,57.591938,2.0301032,61.652145,53.531734
23,2004-07-02,85.328125,89.4375,85.328125,88.95937,61.012974,24930048,0.010327881,83.94734,3.1217628,90.19087,77.70382,89.5,93.0,89.5,91.4375,64.152885,123232,0.03494626,85.59417,4.1299744,93.85412,77.33422,59.68125,60.750004,56.362503,59.366253,49.32126,8195572,-0.015025648,57.591938,2.0301032,61.652145,53.531734
24,2004-07-05,89.14375,90.3125,88.78125,89.34062,61.274464,15505536,0.004285653,83.94734,3.1217628,90.19087,77.70382,91.0,91.625,87.75,88.375,62.00425,22040,-0.033492822,85.59417,4.1299744,93.85412,77.33422,59.625004,60.12563,58.511253,58.865627,48.905342,6538657,-0.008432838,57.591938,2.0301032,61.652145,53.531734
25,2004-07-06,89.1875,89.75,87.88438,89.15625,61.148014,19217968,-0.0020636972,83.94734,3.1217628,90.19087,77.70382,88.1375,90.0,88.1375,89.2125,62.591866,39312,0.009476685,85.59417,4.1299744,93.85412,77.33422,58.803753,60.15375,58.511253,59.86688,49.737183,6493475,0.017009111,57.591938,2.0301032,61.652145,53.531734
26,2004-07-07,87.75938,88.9375,86.56875,87.02812,59.68841,28427936,-0.023869645,83.94734,3.1217628,90.19087,77.70382,90.0,90.75,87.5,88.1125,61.820057,39640,-0.012330099,85.59417,4.1299744,93.85412,77.33422,59.625004,60.300003,57.735,58.066875,48.241753,12948212,-0.030066775,57.591938,2.0301032,61.652145,53.531734
27,2004-07-08,87.5,88.7125,83.20625,84.515625,57.965237,37858080,-0.028869944,83.94734,3.1217628,90.19087,77.70382,87.5,90.0375,83.7375,84.4375,59.241688,80424,-0.041708075,85.59417,4.1299744,93.85412,77.33422,58.500004,59.49,55.125004,56.31188,46.783695,14372488,-0.03022372,57.591938,2.0301032,61.652145,53.531734
28,2004-07-09,81.25,86.86562,80.3125,86.40625,59.261906,22787760,0.022370124,83.94734,3.1217628,90.19087,77.70382,78.775,86.25,78.0625,85.625,60.074844,29280,0.014063656,85.59417,4.1299744,93.85412,77.33422,56.362503,56.812504,52.875004,56.233128,46.71828,8032666,-0.0013984616,57.591938,2.0301032,61.652145,53.531734
29,2004-07-12,86.6875,87.46875,85.265625,86.00938,58.98971,22648144,-0.004593105,83.94734,3.1217628,90.19087,77.70382,86.25,88.2125,85.0,87.3,61.250004,22272,0.019562079,85.59417,4.1299744,93.85412,77.33422,56.975628,57.375004,55.710003,56.092503,46.601444,9023937,-0.0025007501,57.591938,2.0301032,61.652145,53.531734
30,2004-07-13,89.0625,89.525,86.8125,87.671875,60.12996,38728000,0.019329265,84.11581,3.1833086,90.48242,77.74919,88.7625,90.25,88.0,88.3375,61.97793,48160,0.011884295,85.86833,4.025206,93.91875,77.817924,57.24563,57.375004,55.350002,55.82813,46.3818,9888710,-0.004713179,57.54469,2.0547872,61.654263,53.435116
31,2004-07-14,88.75,90.3125,88.375,88.8,60.90367,29463584,0.012867616,84.29586,3.2922304,90.88032,77.711395,89.9875,92.5,88.875,90.6125,63.574078,74376,0.025753513,86.222084,3.957454,94.13699,78.307175,56.68875,57.768753,56.39063,57.577503,47.835175,12656310,0.031334992,57.55244,2.0544465,61.66133,53.443546
32,2004-07-15,89.025,90.55625,88.64375,90.21562,61.87457,21826416,0.015941655,84.57313,3.430646,91.43442,77.71183,91.75,91.95,90.5625,90.9,63.77579,36024,0.0031728402,86.629585,3.77891,94.1874,79.07176,58.471878,59.248127,57.628128,59.079376,49.08293,12752826,0.026084373,57.697063,2.0017192,61.700504,53.693626
33,2004-07-16,90.21875,92.8,90.21875,92.359375,63.344883,34887056,0.023762548,84.9344,3.6610992,92.2566,77.612206,93.725,95.5,92.525,93.975,65.933205,167704,0.033828337,87.14667,3.6829395,94.51254,79.780785,59.737503,60.075005,58.162502,59.1525,49.14368,10434470,0.0012377247,57.787754,2.004051,61.795853,53.77965
34,2004-07-19,92.375,93.25,91.375,92.390625,63.36632,22012128,0.00033835223,85.3019,3.8395097,92.98092,77.62288,95.25,97.2,93.75,95.4125,66.941765,174480,0.015296622,87.68625,3.6681006,95.02245,80.35005,59.259377,59.850002,58.612503,59.467503,49.405388,9878932,0.0053252694,57.913128,1.9869205,61.886967,53.939285
35,2004-07-20,92.125,92.48125,90.19688,90.4875,62.061066,21665664,-0.020598648,85.6213,3.8596702,93.340645,77.90196,96.0,98.25,94.775,97.1875,68.18714,157816,0.018603453,88.34333,3.5391662,95.42167,81.265,59.5125,59.625004,58.235626,58.4775,48.582886,6164390,-0.016647782,57.99319,1.9585141,61.910217,54.07616
36,2004-07-21,90.6875,91.25,89.075,89.83125,61.610966,22177072,-0.0072523826,85.89588,3.8562765,93.60844,78.183334,99.7625,99.7625,95.5,96.325,67.58198,129968,-0.008874629,88.89,3.4597118,95.809425,81.97057,59.062504,59.670002,58.17938,59.011875,49.026855,7479181,0.009138113,58.091503,1.9321041,61.95571,54.227295
37,2004-07-22,90.875,91.25,89.38125,90.16875,61.84243,19465920,0.0037569776,86.155075,3.8739924,93.90306,78.4071,97.5,97.5,95.5125,95.825,67.2312,64272,-0.005190761,89.17625,3.667301,96.51085,81.841644,59.062504,59.9625,58.331253,58.955627,48.980133,9145368,-0.00095316407,58.152252,1.9295816,62.011414,54.29309
38,2004-07-23,90.625,91.54375,90.1875,90.94688,62.37611,15554320,0.008629709,86.52487,3.780034,94.08494,78.9648,97.5,97.5,95.775,96.8625,67.959114,42576,0.0108270915,89.284584,3.8464935,96.97757,81.5916,60.637505,61.537502,59.191875,59.619377,49.53156,18914852,0.011258467,58.28988,1.8797951,62.04947,54.53029
39,2004-07-26,89.925,91.5625,89.50938,91.22188,62.56472,14673152,0.003023754,86.964554,3.5159323,93.99642,79.93269,97.0,97.375,96.125,96.9375,68.01174,29512,0.0007742625,89.6375,4.048366,97.73423,81.54077,59.02875,59.287502,58.505627,58.92188,48.952084,8196941,-0.011699183,58.44938,1.7106568,61.87069,55.028065
40,2004-07-27,91.875,92.9,91.44063,92.45625,63.41132,23371088,0.0135315675,87.39948,3.3522148,94.10391,80.69505,96.9375,96.9375,96.9375,96.9375,68.01174,0,0.0,89.975,4.2230115,98.42102,81.52898,59.13,59.478752,58.17375,58.455,48.564205,6357146,-0.007923661,58.53894,1.6340592,61.807056,55.27082
41,2004-07-28,92.5,94.5625,92.25625,94.26875,64.65444,31335104,0.019603865,87.861565,3.3101673,94.481895,81.24123,100.5,103.0,99.0,101.0625,70.90585,182768,0.04255319,90.48,4.608683,99.697365,81.262634,59.760002,61.762505,58.533752,59.259377,49.232483,8068239,0.013760584,58.660004,1.5429171,61.74584,55.57417
42,2004-07-29,94.34688,96.5625,94.34688,95.975,65.824684,21491184,0.018099794,88.35263,3.3863144,95.12526,81.58,101.5,101.9625,99.0,100.2625,70.34457,93344,-0.007915923,90.95,4.8650346,100.68007,81.21993,59.478752,61.301254,58.55625,60.913128,50.606415,18250381,0.027906993,58.810314,1.5351659,61.880646,55.739983
43,2004-07-30,96.31875,97.8125,95.625,97.09375,66.59197,25009120,0.0116567025,88.84716,3.5451286,95.937416,81.756905,102.25,102.25,100.0,100.1375,70.25685,73272,-0.0012467274,91.32208,5.128502,101.57909,81.06508,61.312504,62.426254,61.014378,61.52063,51.11112,15363883,0.009973252,58.96725,1.5642667,62.095787,55.83872
44,2004-08-02,96.875,97.89375,96.875,97.25,66.69912,17539728,0.0016092694,89.30167,3.7208798,96.74342,81.85991,99.8125,100.75,99.75,100.025,70.177925,99528,-0.0011234053,91.722084,5.326623,102.37533,81.06884,61.65,61.83,60.030003,60.840004,50.545654,10247786,-0.011063378,59.03519,1.6006719,62.236534,55.833847
45,2004-08-03,97.49375,98.875,97.43125,98.55625,67.59502,23723440,0.013431897,89.78716,3.9474163,97.68199,81.89233,100.25,100.6875,99.5375,99.9,70.09021,25104,-0.0012496875,92.18625,5.414541,103.015335,81.35717,60.975002,61.43063,59.8725,60.513752,50.2746,11042710,-0.0053624585,59.105377,1.6182953,62.34197,55.868786
46,2004-08-04,98.6875,98.6875,96.375,96.75625,66.36048,17101728,-0.018263722,90.23977,3.9419234,98.12361,82.35592,95.0,100.175,95.0,99.95,70.125336,43656,0.00050045043,92.70792,5.382344,103.4726,81.94323,60.525,60.525,59.287502,59.799377,49.6811,7179235,-0.011805167,59.17919,1.5969168,62.373024,55.985355
47,2004-08-05,96.5,97.75,96.5,97.3625,66.77625,18405328,0.0062657967,90.667915,3.996201,98.66032,82.675514,99.75,100.7,98.25,98.85,69.35354,44048,-0.011005493,93.14625,5.327124,103.8005,82.492004,59.9625,63.97313,59.9625,63.52875,52.779446,26406905,0.062364765,59.31169,1.7831187,62.877926,55.745453
48,2004-08-06,96.9375,97.3125,94.45937,95.425,65.44746,23971584,-0.019899858,90.99255,3.9730434,98.93864,83.04646,98.275,99.9,97.5,97.5625,68.45024,32392,-0.013024765,93.541664,5.193946,103.92956,83.15378,63.3375,63.562504,61.54313,62.00438,51.513004,18980470,-0.023994993,59.378815,1.8463413,63.0715,55.686134
49,2004-08-09,94.4875,96.35625,93.625,95.890625,65.7668,19569968,0.004879455,91.27333,4.012759,99.29885,83.24782,97.5125,98.75,95.325,98.475,69.09043,19040,0.009352959,93.82917,5.221193,104.27155,83.38678,61.65,63.095627,60.547504,62.763752,52.143894,13286292,0.0122470865,59.385376,1.8583739,63.102127,55.66863
50,2004-08-10,96.3125,96.3125,94.8125,95.31875,65.37458,15133312,-0.005963847,91.540886,4.0057425,99.55237,83.5294,101.225,101.375,98.375,101.2,71.00231,50656,0.027671989,94.22791,5.3143935,104.856705,83.59913,62.831253,63.562504,62.10563,63.163128,52.4757,12356150,0.0063631632,59.45963,1.9639491,63.387527,55.53173
51,2004-08-11,95.9375,96.54375,93.45,94.00625,64.47439,21258032,-0.013769589,91.797295,3.9045475,99.606384,83.9882,101.5625,109.0,100.5,106.3,74.5805,271960,0.050395317,94.862915,5.5831885,106.0293,83.69654,63.225002,64.44,62.2125,62.64563,52.045757,20149856,-0.008193039,59.55244,2.0475945,63.64763,55.457253
52,2004-08-12,94.0,94.55625,93.0,93.66563,64.240776,22696432,-0.0036233868,91.98448,3.8529727,99.69042,84.278534,106.3,106.3,106.3,106.3,74.5805,0,0.0,95.46125,5.818035,107.09732,83.82518,62.2125,62.887505,60.80625,61.14938,50.80267,15486834,-0.023884347,59.58169,2.0644248,63.71054,55.45284
